sell_time,sell_volume,product_sku,Chinese_name,freezer
2023-07-01 09:46:46,3,MN_BJ_BB_MGXN_75,蒙牛冰+芒果口味雪泥75g,MNG23H50874
2023-07-01 09:46:46,3,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50874
2023-07-01 10:16:22,5,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50874
2023-07-01 10:16:22,5,MN_BJ_BB_MGXN_75,蒙牛冰+芒果口味雪泥75g,MNG23H50874
2023-07-01 10:27:08,1,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50874
2023-07-01 11:08:28,1,MN_HJ_BQL_XCKF_80,蒙牛火炬香草咖啡口味冰淇淋80g,MNG23H50874
2023-07-01 13:28:19,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50780
2023-07-01 13:33:50,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50780
2023-07-01 13:42:23,1,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50780
2023-07-01 15:46:36,2,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50780
2023-07-01 15:46:36,2,MN_KACC_XG_CMXC_45,蒙牛酷爱纯脆草莓香草口味脆皮雪糕45g,MNG23H50780
2023-07-01 15:49:54,1,MN_SB_XG_SXG_LMCZ_75,蒙牛随变随芯果蓝莓橙子口味雪糕75g,MNG23H50780
2023-07-01 15:50:47,3,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50780
2023-07-01 15:50:47,3,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50780
2023-07-01 15:50:47,3,MN_YM_XG_HZNN_70,蒙牛优牧红枣牛奶口味雪糕70g,MNG23H50780
2023-07-01 17:59:14,1,MN_SB_BQL_LMJ_80,蒙牛随变爆浆流芯朗姆酒口味爆浆冰淇淋80g,MNG23H50935
2023-07-01 19:42:49,1,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50082
2023-07-01 20:30:51,1,MN_QT_XG_QZNNHT_45,蒙牛趣仔牛蒙蒙牛奶核桃巧克力口味雪糕45g,MNG23H50934
2023-07-01 20:31:53,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50934
2023-07-01 20:32:11,1,MN_SB_XDB_XCQKL_105,蒙牛随变旋顶杯香草巧克力口味雪糕105g,MNG23H50934
2023-07-01 22:52:50,1,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50935
2023-07-02 09:26:10,1,MN_DLSX_BQL_ZSMMNR_90,蒙牛蒂兰圣雪芝士莓莓口味牛乳冰淇淋90g,MNG23H50874
2023-07-02 10:16:09,1,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50031
2023-07-02 11:16:47,1,MN_KACC_XG_CMXC_45,蒙牛酷爱纯脆草莓香草口味脆皮雪糕45g,MNG23H50780
2023-07-02 11:49:57,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50780
2023-07-02 19:41:05,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50775
2023-07-02 20:08:07,1,MN_SB_BQL_LMJ_80,蒙牛随变爆浆流芯朗姆酒口味爆浆冰淇淋80g,MNG23H50934
2023-07-03 10:27:00,1,MN_BJ_BB_HLGBXGNMPT_60,蒙牛冰+彩冰纷火龙果百香果柠檬葡萄口味棒冰60g,MNG23H50058
2023-07-03 14:39:50,1,MN_YMZX_BQL_CM_260,蒙牛优牧之选草莓口味冰淇淋260g,MNG23H50082
2023-07-03 17:42:24,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50058
2023-07-03 19:59:55,2,MN_YM_BQL_YNLM_70,蒙牛优牧椰奶藜麦口味冰淇淋70g,MNG23H50934
2023-07-03 19:59:55,2,MN_YM_XG_DBD_65,蒙牛优牧大布丁雪糕65g,MNG23H50934
2023-07-03 20:00:30,1,MN_YM_XG_HZNN_70,蒙牛优牧红枣牛奶口味雪糕70g,MNG23H50031
2023-07-03 20:30:15,4,MN_HMM_XG_HMG_65,蒙牛哈蜜蜜雪糕65g,MNG23H50780
2023-07-04 11:41:10,1,MN_YM_XG_LL_70,蒙牛优牧榴莲口味雪糕70g,MNG23H50934
2023-07-04 17:22:52,1,MN_YMZX_BQL_QKL_260,蒙牛优牧之选巧克力口味冰淇淋260g,MNG23H50775
2023-07-05 09:41:01,1,MN_SB_BQL_JJBBJTZZ_01_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50771
2023-07-05 09:41:54,1,MN_SB_BQL_BQJGZZCP_60,蒙牛随变榛子脆皮冰淇淋60g,MNG23H50771
2023-07-05 16:15:02,1,MN_SSXG_BQL_XCNY_95,蒙牛果味三色雪糕95g,MNG23H50319
2023-07-05 16:17:18,1,MN_HJ_BQL_XCKF_80,蒙牛火炬香草咖啡口味冰淇淋80g,MNG23H50319
2023-07-05 16:23:03,1,MN_HJ_BQL_XCKF_80,蒙牛火炬香草咖啡口味冰淇淋80g,MNG23H50319
2023-07-05 16:57:53,5,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50319
2023-07-05 16:57:53,5,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50319
2023-07-05 16:57:53,5,MN_LSXQ_XG_LSS_70,蒙牛绿色心情绿莎莎雪糕70g,MNG23H50319
2023-07-05 16:57:53,5,MN_QT_XG_YZGL_70,蒙牛杨枝甘露口味雪糕70g,MNG23H50319
2023-07-05 16:57:53,5,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50319
2023-07-06 11:31:34,1,MN_LSXQ_XG_YNLSS_70,蒙牛绿色心情椰奶绿莎莎口味雪糕70g,MNG23H50775
